page,total_words,unique_words,top_5_words,average_word_length,total_sentences
77,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
78,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
79,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
80,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
81,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
82,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
83,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
84,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
85,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
86,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
87,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
88,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
89,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
90,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
91,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
92,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
93,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
94,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
95,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
96,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
97,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
98,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
99,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
100,823,202,"[('of', 52), ('&', 42), ('|', 38), ('Vitamin', 26), (',', 26)]",4.900364520048603,1
